seed,split,n_samples,MAE,MSE,RMSE,R2
123,train,1035,0.2970550347598182,0.3979838480920878,0.6308596104460071,0.9410332057019878
123,test,444,0.3239539465653017,0.27698900096335155,0.5262974453323439,0.9332999285642479
124,train,1035,0.28964478263737686,0.4188838737008633,0.6472123868567901,0.9330125264342214
124,test,444,0.3019149714254621,0.2574729068253417,0.5074178818541397,0.9515781694331862
125,train,1035,0.366006630177258,0.4299398652528446,0.6556979985121539,0.9243529726384228
125,test,444,0.4293571065005897,0.6687553701670157,0.8177746450991347,0.8994340506240402
126,train,1035,0.3455286089718011,0.3673754079465373,0.6061150121441782,0.9346908063834536
126,test,444,0.39150926088672494,0.48247001099955683,0.6946006125821923,0.9287033153249747
127,train,1035,0.2900499568908532,0.36709843002830805,0.6058864827905538,0.9440329053924956
127,test,444,0.3024873131320966,0.17560054641486275,0.4190471887685953,0.9619144228771418
128,train,1035,0.35293557939867076,0.353653585551727,0.5946878051143533,0.9455894094445887
128,test,444,0.3335847238506507,0.24759768797306364,0.4975918889743518,0.9471122146813229
129,train,1035,0.29636969594047946,0.32312872599065523,0.5684441274132888,0.9412487731616195
129,test,444,0.4079638364871628,0.559292604693233,0.7478586796268618,0.920973481753368
130,train,1035,0.2597879063157646,0.2208906621426726,0.4699900660042429,0.960749099468208
130,test,444,0.3698193248426588,0.6226245078143522,0.7890655915792756,0.9081904807880127
131,train,1035,0.31294387143819097,0.3375637753350263,0.5810023884073338,0.9453466258576773
131,test,444,0.3458672349408801,0.3119046934323783,0.5584842821712875,0.943292175071974
132,train,1035,0.32630210417897376,0.36686351450306776,0.6056925907612439,0.9387856667718514
132,test,444,0.39011918961782455,0.5011280387173892,0.7079039756332699,0.9154969406470261
